,0,1,2,3
Year_Birth,1971.226480836237,1970.105982905983,1968.6146341463414,1965.8864353312304
Education,2.4111498257839723,2.3025641025641024,2.580487804878049,2.5725552050473186
Income,36781.594076655056,36397.44102564103,77322.8731707317,63639.82649842271
Recency,22.914634146341463,73.96752136752137,50.59756097560975,48.51419558359621
Marital_Status_Divorced,0.0975609756097561,0.10085470085470086,0.1024390243902439,0.11198738170347003
Marital_Status_Single,0.2264808362369338,0.2153846153846154,0.25365853658536586,0.17823343848580442
Marital_Status_Together,0.6463414634146342,0.6632478632478632,0.6097560975609756,0.6577287066246057
Marital_Status_Widow,0.029616724738675958,0.020512820512820513,0.03414634146341464,0.052050473186119876
ChildrenHome,1.2247386759581882,1.27008547008547,0.28780487804878047,0.8343848580441641
LifeTime,14.034668989547038,14.50695156695157,17.029349593495937,15.26056782334385
MntWines,0.42509808144612526,0.393906289706782,0.4987438721321424,0.5261370034030575
MntFruits,0.05331007844304265,0.05492642835747848,0.040595582582738134,0.04575354904250001
MntMeatProducts,0.22547400581955218,0.24663314787682986,0.3083544929447377,0.23455563325814852
MntFishProducts,0.08015606863907303,0.08026096858993632,0.05890829316130588,0.06342786829078283
MntSweetProducts,0.05292765291721882,0.057513110548266674,0.04276795135833699,0.047541711950779025
MntGoldProds,0.16303411273498808,0.1667600549207067,0.05062980782073892,0.08258423405473213
TotalAmountSpent,130.87979094076655,129.35555555555555,1614.260975609756,832.8501577287067
AcceptedCmp,0.2665505226480836,0.12307692307692308,1.2463414634146341,0.40063091482649843
NumWebPurchases,0.3471988715891155,0.3491535103073565,0.2751567746492214,0.3322280561239148
NumCatalogPurchases,0.08336164416303789,0.0878648227366176,0.31011980000044864,0.21477838608579922
NumStorePurchases,0.5694394842478466,0.5629816669560259,0.41472342535032997,0.45299355779028594
NumDealsPurchases,0.3364165209548485,0.34607450004885904,0.08188706566789467,0.1606661040523469
NumWebVisitsMonth,6.355400696864112,6.382905982905983,3.4585365853658536,4.545741324921136
TotalPurchases,6.691637630662021,6.683760683760684,20.34390243902439,18.406940063091483
